epoch,g_loss,d_loss,epoch_sec,g_lr,d_lr
1,0.2144750087254662,0.629185809132386,12.0819673538208,0.001,0.0005
2,0.20911103320840943,0.5496575522084994,9.394268274307251,0.001,0.0005
3,0.21009198871783408,0.5860859423712359,9.62933897972107,0.001,0.0005
4,0.21762703269229727,0.5397806570778382,9.648122787475586,0.001,0.0005
5,0.24466915968022354,0.5320693925159287,9.825870275497437,0.001,0.0005
6,0.29905319287419535,0.5038775766244536,9.791417121887207,0.001,0.0005
7,0.2711475850431967,0.524448792339461,9.715805768966675,0.001,0.0005
8,0.2637348604921449,0.5063116577687168,9.841142654418945,0.001,0.0005
9,0.2832664674934565,0.5312052007621559,9.754469871520996,0.001,0.0005
10,0.28670034132611816,0.518044778208846,9.921140432357788,0.001,0.0005
11,0.27635811047264164,0.5340182004561154,9.974653005599976,0.001,0.0005
12,0.27378434281952857,0.5103707523570418,9.81762981414795,0.001,0.0005
13,0.25987543111200523,0.5078940158079921,9.886106491088867,0.001,0.0005
14,0.2985272596997143,0.5219823848013468,10.071279287338257,0.001,0.0005
15,0.29626886614715814,0.530415704470448,10.328335523605347,0.001,0.0005
16,0.2920002563425784,0.4922537325832046,10.055602312088013,0.001,0.0005
17,0.33813666311216967,0.48518361600704996,10.071079730987549,0.001,0.0005
18,0.4136619145489916,0.4811161222852344,10.023642539978027,0.001,0.0005
19,0.5086954144634974,0.4763086039089416,9.945477724075317,0.001,0.0005
20,0.3749483619600371,0.485820473711495,9.871700763702393,0.001,0.0005
21,0.3219286378684166,0.5253352681941045,9.954279899597168,0.001,0.0005
22,0.3103465624902758,0.5146003184632366,10.090609550476074,0.001,0.0005
