epoch,g_loss,d_loss,epoch_sec,g_lr,d_lr
1,0.563443163154439,0.5271939552462297,10.607193231582642,0.001,0.0005
2,0.27858576978092003,0.5598088900611431,8.105370998382568,0.001,0.0005
3,0.28178079626514446,0.5363635103706904,8.1005859375,0.001,0.0005
4,0.3462836508804309,0.5389613261551918,8.14314889907837,0.001,0.0005
5,0.3674755920494278,0.5587897026942025,8.145988464355469,0.001,0.0005
6,0.36885124412271614,0.557190210362675,8.099220514297485,0.001,0.0005
7,0.3512963775879068,0.5553055573425084,8.152339935302734,0.001,0.0005
8,0.3230013166991841,0.5698106956056964,8.141781330108643,0.001,0.0005
9,0.37033510855118146,0.5669324490117417,8.227148056030273,0.001,0.0005
10,0.47104089102372393,0.5536455905960509,8.43730115890503,0.001,0.0005
11,0.4155219998993865,0.5759576113938849,8.311272621154785,0.001,0.0005
12,0.35081038034267353,0.5932789923286089,8.298805713653564,0.001,0.0005
