epoch,g_loss,d_loss,epoch_sec,g_lr,d_lr
1,1.3456655158857105,1.003541958724341,9.097761154174805,0.001,0.0005
2,1.1702798121154199,1.126193061498227,6.709445953369141,0.001,0.0005
3,0.9969740094279894,1.2482526807941945,6.628358840942383,0.001,0.0005
4,0.9191830681272573,1.2874639571475808,6.665363073348999,0.001,0.0005
5,0.8891501783017048,1.2923763774648662,6.579853534698486,0.001,0.0005
6,0.8753575257126113,1.2980515550433827,6.604437351226807,0.001,0.0005
7,0.8670043499639745,1.2978771994711058,6.8225178718566895,0.001,0.0005
8,0.864902648890912,1.2984071428422737,6.828341245651245,0.001,0.0005
9,0.8556782028465864,1.3055809716637872,6.996270179748535,0.001,0.0005
10,0.8446602805005131,1.312266874356941,7.001271486282349,0.001,0.0005
11,0.8343999153190382,1.3156834379846478,7.068074703216553,0.001,0.0005
12,0.8279744047242501,1.320487843788956,6.936095476150513,0.001,0.0005
13,0.8238274510643382,1.3237113663875644,7.21175479888916,0.001,0.0005
14,0.8178660740473153,1.3284272566791862,7.148707389831543,0.001,0.0005
15,0.8112256274689704,1.3293839726849055,7.258673191070557,0.001,0.0005
16,0.8065043728682851,1.328087660359726,7.1391377449035645,0.001,0.0005
17,0.8074433166104653,1.3312594443832062,7.18435001373291,0.001,0.0005
18,0.8025016964462601,1.3288699388504028,7.08847713470459,0.001,0.0005
19,0.8023998779832118,1.3330161057181071,7.150945663452148,0.001,0.0005
20,0.7976437109153057,1.3357645211097746,7.072512149810791,0.001,0.0005
21,0.7961327868907063,1.3365406206582537,7.18566632270813,0.001,0.0005
22,0.7904636786886281,1.3394987407724426,7.035298585891724,0.001,0.0005
23,0.7883620769384793,1.3407687771472896,6.970695972442627,0.001,0.0005
24,0.7895975648485111,1.3363590881201206,7.02861762046814,0.001,0.0005
25,0.7891983133783288,1.3395273001146055,6.860731363296509,0.001,0.0005
26,0.7890573322119181,1.338360714956001,6.9656994342803955,0.001,0.0005
27,0.7897846961370116,1.3410314541630162,7.286347389221191,0.001,0.0005
28,0.7870737396493909,1.340370186286173,7.21153998374939,0.001,0.0005
29,0.7864924025274064,1.3422708041707165,7.22183632850647,0.001,0.0005
30,0.7833042342004654,1.3427380248223189,7.133431673049927,0.001,0.0005
31,0.7827361679382254,1.3411219964515575,7.049607992172241,0.001,0.0005
32,0.7811363409162657,1.3437194650962105,7.084674835205078,0.001,0.0005
33,0.780757449989563,1.342519523238787,7.083129644393921,0.001,0.0005
34,0.781553303247396,1.3423941105985555,7.046074867248535,0.001,0.0005
35,0.7799092412975632,1.34597625832671,7.074937105178833,0.001,0.0005
36,0.7797518004773958,1.3445217096173567,7.052276372909546,0.001,0.0005
37,0.7773403033368984,1.344451991687963,7.283516883850098,0.001,0.0005
38,0.7778490251117476,1.3455551961876138,7.216238975524902,0.001,0.0005
39,0.7794999164789642,1.345132921034065,7.1057281494140625,0.001,0.0005
40,0.7758617125437944,1.3481434633788505,7.188000679016113,0.001,0.0005
41,0.773622219970065,1.3463166311410488,6.969507932662964,0.001,0.0005
42,0.77479816916002,1.346173656814931,6.991288185119629,0.001,0.0005
43,0.7737254275373393,1.3478083630148627,7.091672897338867,0.001,0.0005
44,0.7723311476777197,1.3492005422738613,7.073751926422119,0.001,0.0005
45,0.7702848519551034,1.3467272898178868,7.298558235168457,0.001,0.0005
46,0.7711417043012936,1.34807511472179,7.417436361312866,0.001,0.0005
47,0.7706126024234883,1.348502338041553,7.4911956787109375,0.001,0.0005
48,0.7701083041414264,1.348112204719941,7.403540372848511,0.001,0.0005
49,0.7717243771339465,1.3480556365340894,7.229377508163452,0.001,0.0005
50,0.7682695442732335,1.351614843011992,7.445014238357544,0.001,0.0005
51,0.7674222225136034,1.3508150401019527,7.2027764320373535,0.001,0.0005
52,0.7695723129691764,1.3485692859349783,7.252525806427002,0.001,0.0005
53,0.7636117230712605,1.3519789970988982,7.025202512741089,0.001,0.0005
54,0.7700438338180347,1.349920280563766,7.0802834033966064,0.001,0.0005
55,0.7662627423485193,1.3508058509617444,6.967907190322876,0.001,0.0005
56,0.7666144849940235,1.3526390733187117,7.105278730392456,0.001,0.0005
57,0.7654703278537206,1.3500416011871323,6.963799476623535,0.001,0.0005
58,0.7650495691861705,1.3499597466841913,7.0560057163238525,0.001,0.0005
59,0.7644793536153093,1.3528028529348495,7.145336866378784,0.001,0.0005
60,0.765501367490078,1.3515557192361334,6.981067895889282,0.001,0.0005
61,0.763181674578508,1.3512922950375015,7.403354644775391,0.001,0.0005
62,0.7632727250865434,1.3507608164381066,7.571504354476929,0.001,0.0005
63,0.7622761506267178,1.350737107301325,7.644020318984985,0.001,0.0005
64,0.7663843712924385,1.3498435010639798,7.3794591426849365,0.001,0.0005
65,0.7632368366068852,1.3509201995851352,7.386424779891968,0.001,0.0005
66,0.7613455871668333,1.3514866622971877,7.33654522895813,0.001,0.0005
67,0.7647747439919703,1.35169712444546,7.2882561683654785,0.001,0.0005
68,0.7626829996732297,1.353008063554328,7.340829849243164,0.001,0.0005
69,0.7607721514741072,1.352673428150156,7.379194736480713,0.001,0.0005
70,0.760375006052868,1.352591981726547,7.074257850646973,0.001,0.0005
71,0.7627827250543416,1.3514159575676787,7.199588298797607,0.001,0.0005
72,0.7594714491633218,1.3554815166175256,7.20581579208374,0.001,0.0005
73,0.7631767537628711,1.3539916502492302,7.165279865264893,0.001,0.0005
74,0.7611545735129055,1.3516377516812772,7.436955690383911,0.001,0.0005
75,0.764736660819167,1.3528394709993323,7.835879564285278,0.001,0.0005
76,0.7614314507631759,1.354336916855528,7.450523138046265,0.001,0.0005
77,0.7594637744387499,1.3552914771780888,7.120874643325806,0.001,0.0005
78,0.7585171755859578,1.3521766212566244,7.085493564605713,0.001,0.0005
79,0.7585323295493013,1.3527271074176488,7.150098085403442,0.001,0.0005
80,0.7569957482858375,1.3558093602522199,7.2796790599823,0.001,0.0005
81,0.7581810308875724,1.352368879906656,7.168562889099121,0.001,0.0005
82,0.7586634199950552,1.3563769920652484,7.144983291625977,0.001,0.0005
83,0.7544122032099275,1.35505279806022,7.08840012550354,0.001,0.0005
84,0.7552643092502406,1.3533033318885719,7.134581089019775,0.001,0.0005
85,0.7549216568034135,1.3550953745188181,6.916451930999756,0.001,0.0005
86,0.7583312429283393,1.3560310836465965,6.9337382316589355,0.001,0.0005
87,0.7552976049823342,1.3573435485036107,7.1019446849823,0.001,0.0005
88,0.755477070154612,1.3520924859770473,7.285254240036011,0.001,0.0005
89,0.7550659839479318,1.3528699908657527,7.12955641746521,0.001,0.0005
