epoch,g_loss,d_loss,epoch_sec,g_lr,d_lr
1,1.4515140259901682,1.5153234043280284,70.52060389518738,0.001,0.0005
2,0.8408933561960856,1.4871962146759032,59.336485862731934,0.001,0.0005
3,0.8085493432362875,1.4757202862421672,59.796568870544434,0.001,0.0005
4,0.7806890568415323,1.460580263264974,59.88815784454346,0.001,0.0005
5,0.7405357995669047,1.4509317693074544,59.3584508895874,0.001,0.0005
6,0.7266475398381551,1.4401825044631957,64.39076066017151,0.001,0.0005
7,0.7119537576993307,1.431494956334432,65.2156708240509,0.001,0.0005
8,0.7051213251113891,1.4205538105010986,59.65406799316406,0.001,0.0005
9,0.7112074170748393,1.4120674369812012,59.46959376335144,0.001,0.0005
10,0.7188853499730428,1.4107434935887655,58.795321464538574,0.001,0.0005
11,0.7058190803845723,1.4139746867497762,61.3273561000824,0.001,0.0005
12,0.704442054271698,1.4104187304814657,60.5270881652832,0.001,0.0005
13,0.7027899717648824,1.4057546944936117,64.34992861747742,0.001,0.0005
14,0.7011787515640259,1.4036908571243285,61.61379337310791,0.001,0.0005
15,0.701993917910258,1.3982346956253051,61.90985321998596,0.001,0.0005
16,0.7064488575617472,1.3946219244003295,61.64728355407715,0.001,0.0005
17,0.706362813504537,1.3963997627894085,61.040518283843994,0.001,0.0005
18,0.7059168664296468,1.3931178224563598,60.69545650482178,0.001,0.0005
19,0.7060093104998271,1.3957158335367839,58.47582721710205,0.001,0.0005
20,0.712415359656016,1.3881597948710123,58.63562893867493,0.001,0.0005
21,0.70812891441981,1.3964511171340943,58.672414779663086,0.001,0.0005
22,0.7091504146893819,1.3907716578801472,58.79939079284668,0.001,0.0005
23,0.7128093338330587,1.3895459930419922,58.43893623352051,0.001,0.0005
24,0.7149971519152324,1.394827433268229,58.484750747680664,0.001,0.0005
25,0.7214414722760518,1.3906106454849243,58.435216426849365,0.001,0.0005
26,0.7058097373644511,1.3958009332974752,58.65493679046631,0.001,0.0005
27,0.7154637882232666,1.3917084940592448,58.53160905838013,0.001,0.0005
28,0.711124030717214,1.3983653711954753,58.63155221939087,0.001,0.0005
29,0.7104087429682414,1.3897657245635986,58.62577414512634,0.001,0.0005
30,0.7134034450213115,1.3948445253372193,58.400269508361816,0.001,0.0005
31,0.7124351634979248,1.3956272589365641,58.264963150024414,0.001,0.0005
32,0.7022287928263347,1.401089943186442,59.025487422943115,0.001,0.0005
33,0.7115031144460042,1.390393413734436,58.80640172958374,0.001,0.0005
34,0.7100802058219909,1.3965692770640055,58.79165720939636,0.001,0.0005
